,t,x,y,z,qx,qy,qz,qw,yaw,pitch,roll,vx,vy,vz,wx,wy,wz,ros_timestamp,x_poses,y_poses,z_poses,qx_poses,qy_poses,qz_poses,qw_poses,yaw_poses,pitch_poses,roll_poses,m1_thrust,m2_thrust,m3_thrust,m4_thrust,m1_erpm,m2_erpm,m3_erpm,m4_erpm,ros_timestamp_motors,thrust,torque_roll,torque_pitch,torch_yaw,ax,ay,az,ros_timestamp_image_accel,x_setpoint,y_setpoint,z_setpoint,qx_setpoint,qy_setpoint,qz_setpoint,qw_setpoint,yaw_setpoint,pitch_setpoint,roll_setpoint,vx_setpoint,vy_setpoint,vz_setpoint,wx_setpoint,wy_setpoint,wz_setpoint,ros_timestamp_setpoint,Vbat,can_be_armed,is_armed,auto_arm,can_fly,is_flying,is_tumbled,is_locked
0,0.0,0.042,0.003,0.38,-0.009686394594609737,-0.0027675412129610777,-0.0013837706064805388,0.9999483227729797,-0.0027138283,-0.005561633,-0.019365638,-0.015,0.033,0.652,0.163,0.099,0.002,6.176424503326416,0.04329213127493858,0.0036535700783133507,0.374517023563385,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.2015461921691895,0.16096742198825056,-0.02835126268406195,-0.0005645838101777677,0.16096742198825056,0.003,0.101,9.43319,6.176424503326416,0.037,0.018,0.289,0.0,0.0,-0.0013837706064805388,0.9999990463256836,-0.0027675421,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.005,6.176424503326416,3.953000068664551,False,True,False,True,True,False,False
1,0.01,0.042,0.003,0.38,-0.009686394594609737,-0.0027675412129610777,-0.0013837706064805388,0.9999483227729797,-0.0027138283,-0.005561633,-0.019365638,-0.015,0.033,0.652,0.163,0.099,0.002,6.176424503326416,0.04329213127493858,0.0036535700783133507,0.374517023563385,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.2015461921691895,0.16096742198825056,-0.02835126268406195,-0.0005645838101777677,0.16096742198825056,0.003,0.101,9.43319,6.176424503326416,0.037,0.018,0.289,0.0,0.0,-0.0013837706064805388,0.9999990463256836,-0.0027675421,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.005,6.176424503326416,3.953000068664551,False,True,False,True,True,False,False
2,0.02,0.042,0.003,0.38,-0.009686394594609737,-0.0027675412129610777,-0.0013837706064805388,0.9999483227729797,-0.0027138283,-0.005561633,-0.019365638,-0.015,0.033,0.652,0.163,0.099,0.002,6.176424503326416,0.04329213127493858,0.0036535700783133507,0.374517023563385,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.2015461921691895,0.16096742198825056,-0.02835126268406195,-0.0005645838101777677,0.16096742198825056,0.003,0.101,9.43319,6.176424503326416,0.037,0.018,0.289,0.0,0.0,-0.0013837706064805388,0.9999990463256836,-0.0027675421,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.005,6.176424503326416,3.953000068664551,False,True,False,True,True,False,False
3,0.03,0.042,0.003,0.38,-0.009686394594609737,-0.0027675412129610777,-0.0013837706064805388,0.9999483227729797,-0.0027138283,-0.005561633,-0.019365638,-0.015,0.033,0.652,0.163,0.099,0.002,6.176424503326416,0.04329213127493858,0.0036535700783133507,0.374517023563385,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.2015461921691895,0.16096742198825056,-0.02835126268406195,-0.0005645838101777677,0.16096742198825056,0.003,0.101,9.43319,6.176424503326416,0.037,0.018,0.289,0.0,0.0,-0.0013837706064805388,0.9999990463256836,-0.0027675421,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.005,6.176424503326416,3.953000068664551,False,True,False,True,True,False,False
4,0.04,0.042,0.003,0.38,-0.009686394594609737,-0.0027675412129610777,-0.0013837706064805388,0.9999483227729797,-0.0027138283,-0.005561633,-0.019365638,-0.015,0.033,0.652,0.163,0.099,0.002,6.176424503326416,0.04329213127493858,0.0036535700783133507,0.374517023563385,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.2015461921691895,0.16096742198825056,-0.02835126268406195,-0.0005645838101777677,0.16096742198825056,0.003,0.101,9.43319,6.176424503326416,0.037,0.018,0.289,0.0,0.0,-0.0013837706064805388,0.9999990463256836,-0.0027675421,0.0,0.0,0.0,0.0,0.656,0.0,0.0,0.005,6.176424503326416,3.953000068664551,False,True,False,True,True,False,False
5,0.05,0.041,0.004,0.433,-0.005535082425922155,-0.0,-0.0,0.9999846816062927,0.0,-0.0,-0.011070222,-0.03,0.045,0.591,0.137,0.224,0.011,6.229926586151123,0.042134545743465424,0.004434037953615189,0.4283217787742615,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.215763807296753,0.5003891050583658,-0.013427939269092852,-0.00025940337224383917,0.5003891050583658,0.073,0.009,9.200190000000001,6.229926586151123,0.037,0.018,0.346,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.005,6.229926586151123,3.953000068664551,False,True,False,True,True,False,False
6,0.06,0.041,0.004,0.433,-0.005535082425922155,-0.0,-0.0,0.9999846816062927,0.0,-0.0,-0.011070222,-0.03,0.045,0.591,0.137,0.224,0.011,6.229926586151123,0.042134545743465424,0.004434037953615189,0.4283217787742615,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.215763807296753,0.5003891050583658,-0.013427939269092852,-0.00025940337224383917,0.5003891050583658,0.073,0.009,9.200190000000001,6.229926586151123,0.037,0.018,0.346,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.005,6.229926586151123,3.953000068664551,False,True,False,True,True,False,False
7,0.07,0.041,0.004,0.433,-0.005535082425922155,-0.0,-0.0,0.9999846816062927,0.0,-0.0,-0.011070222,-0.03,0.045,0.591,0.137,0.224,0.011,6.229926586151123,0.042134545743465424,0.004434037953615189,0.4283217787742615,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.215763807296753,0.5003891050583658,-0.013427939269092852,-0.00025940337224383917,0.5003891050583658,0.073,0.009,9.200190000000001,6.229926586151123,0.037,0.018,0.346,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.005,6.229926586151123,3.953000068664551,False,True,False,True,True,False,False
8,0.08,0.041,0.004,0.433,-0.005535082425922155,-0.0,-0.0,0.9999846816062927,0.0,-0.0,-0.011070222,-0.03,0.045,0.591,0.137,0.224,0.011,6.229926586151123,0.042134545743465424,0.004434037953615189,0.4283217787742615,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.215763807296753,0.5003891050583658,-0.013427939269092852,-0.00025940337224383917,0.5003891050583658,0.073,0.009,9.200190000000001,6.229926586151123,0.037,0.018,0.346,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.005,6.229926586151123,3.953000068664551,False,True,False,True,True,False,False
9,0.09,0.041,0.004,0.433,-0.005535082425922155,-0.0,-0.0,0.9999846816062927,0.0,-0.0,-0.011070222,-0.03,0.045,0.591,0.137,0.224,0.011,6.229926586151123,0.042134545743465424,0.004434037953615189,0.4283217787742615,,,,,,,,0.5411612115663386,0.4839093614099336,0.48540474555580987,0.534050507362478,95200.0,96200.0,98000.0,95200.0,6.215763807296753,0.5003891050583658,-0.013427939269092852,-0.00025940337224383917,0.5003891050583658,0.073,0.009,9.200190000000001,6.229926586151123,0.037,0.018,0.346,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.005,6.229926586151123,3.953000068664551,False,True,False,True,True,False,False
10,0.1,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
11,0.11,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
12,0.12,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
13,0.13,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
14,0.14,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
15,0.15,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
16,0.16,0.041,0.004,0.435,-0.004151311703026295,0.0013837706064805388,-0.0,0.9999904036521912,-1.148897e-05,0.0027675182,-0.008302671,-0.029,0.045,0.564,0.162,0.172,0.018,7.3396947383880615,0.04226306453347206,0.004421519115567207,0.43423551321029663,,,,,,,,0.5709773403524834,0.5673151750972762,0.5715877012283512,0.5665827420462348,96200.0,95200.0,96500.0,95200.0,7.311314344406128,0.4961013199053941,-0.011825741969939726,-0.0019226367589837492,0.4961013199053941,0.118,-0.027,9.078190000000001,7.3396947383880615,0.037,0.018,0.352,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.005,7.3396947383880615,3.953000068664551,False,True,False,True,True,False,False
