t,x,y,z,yaw
0.000,0.000,0.000,0.500,0.000
0.995,0.495,0.000,0.500,0.000
2.000,1.000,0.000,0.500,0.000
3.000,1.000,0.000,0.500,0.000
3.995,1.000,0.495,0.500,0.000
5.000,1.000,1.000,0.500,0.000
6.000,1.000,1.000,0.500,0.000
6.995,0.505,1.000,0.500,0.000
8.000,0.000,1.000,0.500,0.000
9.000,0.000,1.000,0.500,0.000
9.995,0.000,0.505,0.500,0.000
11.000,0.000,0.000,0.500,0.000
12.000,0.000,0.000,0.500,0.000
12.995,0.000,0.000,0.995,0.000
14.000,0.000,0.000,1.500,0.000
15.000,0.000,0.000,1.500,0.000
15.995,0.495,0.000,1.500,0.000
17.000,1.000,0.000,1.500,0.000
18.000,1.000,0.000,1.500,0.000
18.995,1.000,0.495,1.500,0.000
20.000,1.000,1.000,1.500,0.000
21.000,1.000,1.000,1.500,0.000
21.995,0.505,1.000,1.500,0.000
23.000,0.000,1.000,1.500,0.000
24.000,0.000,1.000,1.500,0.000
24.995,0.000,0.505,1.500,0.000
26.000,0.000,0.000,1.500,0.000
27.000,0.000,0.000,1.500,0.000
27.995,0.000,0.000,1.005,0.000
29.000,0.000,0.000,0.500,0.000
