t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,yaw
0.000,0.000,0.000,1.250,0.471,0.471,0.471,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000
0.010,0.005,0.005,1.255,0.471,0.471,0.471,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000
0.020,0.009,0.009,1.259,0.471,0.471,0.471,-0.004,-0.004,-0.004,0.000,0.000,0.000,0.000
0.030,0.014,0.014,1.264,0.472,0.472,0.472,-0.006,-0.006,-0.006,0.000,0.000,0.000,0.000
0.040,0.019,0.019,1.269,0.472,0.472,0.472,-0.007,-0.007,-0.007,0.000,0.000,0.000,0.000
0.050,0.024,0.024,1.274,0.472,0.472,0.472,-0.009,-0.009,-0.009,0.000,0.000,0.000,0.000
0.060,0.028,0.028,1.278,0.472,0.472,0.472,-0.011,-0.011,-0.011,0.000,0.000,0.000,0.000
0.070,0.033,0.033,1.283,0.472,0.472,0.472,-0.013,-0.013,-0.013,0.000,0.000,0.000,0.000
0.080,0.038,0.038,1.288,0.472,0.472,0.472,-0.015,-0.015,-0.015,0.000,0.000,0.000,0.000
0.090,0.042,0.042,1.292,0.472,0.472,0.472,-0.017,-0.017,-0.017,0.000,0.000,0.000,0.000
0.100,0.047,0.047,1.297,0.472,0.472,0.472,-0.019,-0.019,-0.019,0.000,0.000,0.000,0.000
0.110,0.052,0.052,1.302,0.471,0.471,0.471,-0.021,-0.021,-0.021,0.000,0.000,0.000,0.000
0.120,0.057,0.057,1.307,0.471,0.471,0.471,-0.022,-0.022,-0.022,0.000,0.000,0.000,0.000
0.130,0.061,0.061,1.311,0.471,0.471,0.471,-0.024,-0.024,-0.024,0.000,0.000,0.000,0.000
0.140,0.066,0.066,1.316,0.471,0.471,0.471,-0.026,-0.026,-0.026,0.000,0.000,0.000,0.000
0.150,0.071,0.071,1.321,0.471,0.471,0.471,-0.028,-0.028,-0.028,0.000,0.000,0.000,0.000
0.160,0.075,0.075,1.325,0.471,0.471,0.471,-0.030,-0.030,-0.030,0.000,0.000,0.000,0.000
0.170,0.080,0.080,1.330,0.471,0.471,0.471,-0.032,-0.032,-0.032,0.000,0.000,0.000,0.000
0.180,0.085,0.085,1.335,0.470,0.470,0.470,-0.034,-0.034,-0.034,0.000,0.000,0.000,0.000
0.190,0.090,0.090,1.340,0.470,0.470,0.470,-0.036,-0.036,-0.036,0.000,0.000,0.000,0.000
0.200,0.094,0.094,1.344,0.470,0.470,0.470,-0.038,-0.038,-0.038,0.000,0.000,0.000,0.000
0.210,0.099,0.099,1.349,0.470,0.470,0.470,-0.040,-0.040,-0.040,0.000,0.000,0.000,0.000
0.220,0.104,0.104,1.354,0.469,0.469,0.469,-0.041,-0.041,-0.041,0.000,0.000,0.000,0.000
0.230,0.108,0.108,1.358,0.469,0.469,0.469,-0.043,-0.043,-0.043,0.000,0.000,0.000,0.000
0.240,0.113,0.113,1.363,0.469,0.469,0.469,-0.045,-0.045,-0.045,0.000,0.000,0.000,0.000
0.250,0.118,0.118,1.368,0.469,0.469,0.469,-0.047,-0.047,-0.047,0.000,0.000,0.000,0.000
0.260,0.122,0.122,1.372,0.468,0.468,0.468,-0.049,-0.049,-0.049,0.000,0.000,0.000,0.000
0.270,0.127,0.127,1.377,0.468,0.468,0.468,-0.051,-0.051,-0.051,0.000,0.000,0.000,0.000
0.280,0.132,0.132,1.382,0.467,0.467,0.467,-0.053,-0.053,-0.053,0.000,0.000,0.000,0.000
0.290,0.136,0.136,1.386,0.467,0.467,0.467,-0.055,-0.055,-0.055,0.000,0.000,0.000,0.000
0.300,0.141,0.141,1.391,0.467,0.467,0.467,-0.057,-0.057,-0.057,0.000,0.000,0.000,0.000
0.310,0.146,0.146,1.396,0.466,0.466,0.466,-0.059,-0.059,-0.059,0.000,0.000,0.000,0.000
0.320,0.150,0.150,1.400,0.466,0.466,0.466,-0.060,-0.060,-0.060,0.000,0.000,0.000,0.000
0.330,0.155,0.155,1.405,0.465,0.465,0.465,-0.062,-0.062,-0.062,0.000,0.000,0.000,0.000
0.340,0.160,0.160,1.410,0.465,0.465,0.465,-0.064,-0.064,-0.064,0.000,0.000,0.000,0.000
0.350,0.164,0.164,1.414,0.464,0.464,0.464,-0.066,-0.066,-0.066,0.000,0.000,0.000,0.000
0.360,0.169,0.169,1.419,0.464,0.464,0.464,-0.068,-0.068,-0.068,0.000,0.000,0.000,0.000
0.370,0.174,0.174,1.424,0.463,0.463,0.463,-0.070,-0.070,-0.070,0.000,0.000,0.000,0.000
0.380,0.178,0.178,1.428,0.462,0.462,0.462,-0.072,-0.072,-0.072,0.000,0.000,0.000,0.000
0.390,0.183,0.183,1.433,0.462,0.462,0.462,-0.074,-0.074,-0.074,0.000,0.000,0.000,0.000
0.400,0.188,0.188,1.438,0.461,0.461,0.461,-0.076,-0.076,-0.076,0.000,0.000,0.000,0.000
0.410,0.192,0.192,1.442,0.461,0.461,0.461,-0.078,-0.078,-0.078,0.000,0.000,0.000,0.000
0.420,0.197,0.197,1.447,0.460,0.460,0.460,-0.079,-0.079,-0.079,0.000,0.000,0.000,0.000
0.430,0.201,0.201,1.451,0.459,0.459,0.459,-0.081,-0.081,-0.081,0.000,0.000,0.000,0.000
0.440,0.206,0.206,1.456,0.459,0.459,0.459,-0.083,-0.083,-0.083,0.000,0.000,0.000,0.000
0.450,0.210,0.210,1.460,0.458,0.458,0.458,-0.085,-0.085,-0.085,0.000,0.000,0.000,0.000
0.460,0.215,0.215,1.465,0.457,0.457,0.457,-0.087,-0.087,-0.087,0.000,0.000,0.000,0.000
0.470,0.220,0.220,1.470,0.456,0.456,0.456,-0.089,-0.089,-0.089,0.000,0.000,0.000,0.000
0.480,0.224,0.224,1.474,0.456,0.456,0.456,-0.091,-0.091,-0.091,0.000,0.000,0.000,0.000
