t,x,y,z,yaw
0.000,0.000,0.000,0.000,0.000
0.680,0.000,0.425,0.000,0.000
1.370,0.000,0.790,0.000,0.000
2.060,0.000,0.987,0.000,0.000
2.750,0.000,0.935,0.000,0.000
3.440,0.000,0.606,0.000,0.000
4.130,0.000,0.063,0.000,0.000
4.820,0.000,-0.530,0.000,0.000
5.510,0.000,-0.937,0.000,0.000
6.200,0.000,-0.943,0.000,0.000
6.890,0.000,-0.477,0.000,0.000
7.580,0.000,0.275,0.000,0.000
8.270,0.000,0.891,0.000,0.000
8.960,0.000,0.923,0.000,0.000
9.650,0.000,0.256,0.000,0.000
10.340,0.000,-0.652,0.000,0.000
11.030,0.000,-0.987,0.000,0.000
11.720,0.000,-0.318,0.000,0.000
12.410,0.000,0.732,0.000,0.000
13.100,0.000,0.896,0.000,0.000
13.790,0.000,-0.168,0.000,0.000
14.480,0.000,-0.999,0.000,0.000
15.170,0.000,-0.189,0.000,0.000
15.860,0.000,0.969,0.000,0.000
16.550,0.000,0.222,0.000,0.000
17.240,0.000,-0.994,0.000,0.000
17.930,0.000,0.108,0.000,0.000
18.620,0.000,0.911,0.000,0.000
19.310,0.000,-0.750,0.000,0.000
20.000,0.000,-0.183,0.000,0.000
