t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,yaw
0.000,0.024,0.901,1.144,-0.000,-0.000,-0.000,1.510,-2.391,0.462,0.000,0.000,0.000,0.000
0.010,0.024,0.901,1.144,0.015,-0.024,0.005,1.495,-2.365,0.458,0.000,0.000,0.000,0.000
0.020,0.024,0.900,1.144,0.030,-0.047,0.009,1.480,-2.340,0.454,0.000,0.000,0.000,0.000
0.030,0.024,0.900,1.144,0.045,-0.071,0.014,1.465,-2.314,0.449,0.000,0.000,0.000,0.000
0.040,0.025,0.899,1.145,0.059,-0.094,0.018,1.450,-2.289,0.445,0.000,0.000,0.000,0.000
0.050,0.025,0.898,1.145,0.074,-0.116,0.023,1.435,-2.263,0.440,0.000,0.000,0.000,0.000
0.060,0.026,0.897,1.145,0.088,-0.139,0.027,1.420,-2.237,0.436,0.000,0.000,0.000,0.000
0.070,0.027,0.895,1.145,0.102,-0.161,0.031,1.405,-2.212,0.432,0.000,0.000,0.000,0.000
0.080,0.028,0.893,1.146,0.116,-0.183,0.036,1.390,-2.186,0.427,0.000,0.000,0.000,0.000
0.090,0.030,0.892,1.146,0.130,-0.205,0.040,1.375,-2.161,0.423,0.000,0.000,0.000,0.000
0.100,0.031,0.889,1.146,0.143,-0.226,0.044,1.360,-2.135,0.418,0.000,0.000,0.000,0.000
0.110,0.032,0.887,1.147,0.157,-0.248,0.048,1.345,-2.110,0.414,0.000,0.000,0.000,0.000
0.120,0.034,0.884,1.147,0.170,-0.268,0.052,1.330,-2.084,0.409,0.000,0.000,0.000,0.000
0.130,0.036,0.882,1.148,0.184,-0.289,0.056,1.315,-2.058,0.405,0.000,0.000,0.000,0.000
0.140,0.038,0.879,1.148,0.197,-0.310,0.060,1.299,-2.033,0.401,0.000,0.000,0.000,0.000
0.150,0.040,0.875,1.149,0.210,-0.330,0.064,1.284,-2.007,0.396,0.000,0.000,0.000,0.000
0.160,0.042,0.872,1.150,0.222,-0.350,0.068,1.269,-1.982,0.392,0.000,0.000,0.000,0.000
0.170,0.044,0.868,1.150,0.235,-0.369,0.072,1.254,-1.956,0.387,0.000,0.000,0.000,0.000
0.180,0.047,0.865,1.151,0.247,-0.389,0.076,1.239,-1.931,0.383,0.000,0.000,0.000,0.000
0.190,0.049,0.861,1.152,0.260,-0.408,0.080,1.224,-1.905,0.379,0.000,0.000,0.000,0.000
0.200,0.052,0.857,1.153,0.272,-0.427,0.084,1.209,-1.879,0.374,0.000,0.000,0.000,0.000
0.210,0.055,0.852,1.154,0.284,-0.446,0.087,1.194,-1.854,0.370,0.000,0.000,0.000,0.000
0.220,0.058,0.848,1.155,0.296,-0.464,0.091,1.179,-1.828,0.365,0.000,0.000,0.000,0.000
0.230,0.061,0.843,1.155,0.308,-0.482,0.095,1.164,-1.803,0.361,0.000,0.000,0.000,0.000
0.240,0.064,0.838,1.156,0.319,-0.500,0.098,1.149,-1.777,0.356,0.000,0.000,0.000,0.000
0.250,0.067,0.833,1.157,0.331,-0.518,0.102,1.134,-1.751,0.352,0.000,0.000,0.000,0.000
0.260,0.070,0.828,1.158,0.342,-0.535,0.105,1.119,-1.726,0.348,0.000,0.000,0.000,0.000
0.270,0.074,0.822,1.160,0.353,-0.552,0.109,1.104,-1.700,0.343,0.000,0.000,0.000,0.000
0.280,0.077,0.817,1.161,0.364,-0.569,0.112,1.089,-1.675,0.339,0.000,0.000,0.000,0.000
0.290,0.081,0.811,1.162,0.375,-0.586,0.116,1.074,-1.649,0.334,0.000,0.000,0.000,0.000
0.300,0.085,0.805,1.163,0.385,-0.602,0.119,1.059,-1.624,0.330,0.000,0.000,0.000,0.000
0.310,0.089,0.799,1.164,0.396,-0.618,0.122,1.044,-1.598,0.326,0.000,0.000,0.000,0.000
0.320,0.093,0.792,1.165,0.406,-0.634,0.125,1.028,-1.572,0.321,0.000,0.000,0.000,0.000
0.330,0.097,0.786,1.167,0.416,-0.650,0.129,1.013,-1.547,0.317,0.000,0.000,0.000,0.000
