t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,yaw
0.000,0.024,0.901,1.144,-0.000,-0.000,0.000,3.456,-5.472,1.058,0.000,0.000,0.000,0.000
0.010,0.024,0.901,1.144,0.034,-0.054,0.011,3.404,-5.383,1.043,0.000,0.000,0.000,0.000
0.020,0.024,0.900,1.144,0.068,-0.108,0.021,3.352,-5.295,1.028,0.000,0.000,0.000,0.000
0.030,0.025,0.899,1.145,0.101,-0.160,0.031,3.300,-5.206,1.013,0.000,0.000,0.000,0.000
0.040,0.026,0.897,1.145,0.134,-0.212,0.041,3.248,-5.118,0.997,0.000,0.000,0.000,0.000
0.050,0.028,0.894,1.145,0.166,-0.263,0.051,3.196,-5.029,0.982,0.000,0.000,0.000,0.000
0.060,0.030,0.891,1.146,0.198,-0.312,0.061,3.144,-4.940,0.967,0.000,0.000,0.000,0.000
0.070,0.032,0.888,1.147,0.229,-0.361,0.070,3.091,-4.852,0.951,0.000,0.000,0.000,0.000
0.080,0.034,0.884,1.147,0.260,-0.409,0.080,3.039,-4.763,0.936,0.000,0.000,0.000,0.000
0.090,0.037,0.880,1.148,0.290,-0.457,0.089,2.987,-4.675,0.921,0.000,0.000,0.000,0.000
0.100,0.040,0.875,1.149,0.320,-0.503,0.098,2.935,-4.586,0.905,0.000,0.000,0.000,0.000
0.110,0.043,0.870,1.150,0.349,-0.548,0.107,2.883,-4.498,0.890,0.000,0.000,0.000,0.000
0.120,0.047,0.864,1.151,0.377,-0.593,0.116,2.831,-4.409,0.875,0.000,0.000,0.000,0.000
0.130,0.051,0.858,1.153,0.405,-0.637,0.125,2.779,-4.321,0.860,0.000,0.000,0.000,0.000
0.140,0.055,0.851,1.154,0.433,-0.679,0.133,2.727,-4.232,0.844,0.000,0.000,0.000,0.000
0.150,0.060,0.844,1.155,0.460,-0.721,0.142,2.675,-4.144,0.829,0.000,0.000,0.000,0.000
0.160,0.064,0.837,1.157,0.486,-0.762,0.150,2.622,-4.055,0.814,0.000,0.000,0.000,0.000
0.170,0.069,0.829,1.158,0.512,-0.802,0.158,2.570,-3.966,0.798,0.000,0.000,0.000,0.000
0.180,0.075,0.821,1.160,0.538,-0.841,0.166,2.518,-3.878,0.783,0.000,0.000,0.000,0.000
0.190,0.080,0.812,1.162,0.563,-0.880,0.173,2.466,-3.789,0.768,0.000,0.000,0.000,0.000
0.200,0.086,0.803,1.163,0.587,-0.917,0.181,2.414,-3.701,0.752,0.000,0.000,0.000,0.000
0.210,0.092,0.794,1.165,0.611,-0.954,0.189,2.362,-3.612,0.737,0.000,0.000,0.000,0.000
0.220,0.098,0.784,1.167,0.634,-0.990,0.196,2.310,-3.524,0.722,0.000,0.000,0.000,0.000
0.230,0.104,0.774,1.169,0.657,-1.024,0.203,2.258,-3.435,0.707,0.000,0.000,0.000,0.000
0.240,0.111,0.764,1.171,0.679,-1.058,0.210,2.205,-3.347,0.691,0.000,0.000,0.000,0.000
0.250,0.118,0.753,1.173,0.701,-1.091,0.217,2.153,-3.258,0.676,0.000,0.000,0.000,0.000
0.260,0.125,0.742,1.175,0.722,-1.123,0.223,2.101,-3.169,0.661,0.000,0.000,0.000,0.000
0.270,0.133,0.731,1.178,0.743,-1.155,0.230,2.049,-3.081,0.645,0.000,0.000,0.000,0.000
